street,city
111 6th St,Clifton
69 Sperling Rd,Clifton
18 Laurel Ave,West_Milford
3H Colonial Dr #38,Little_Falls
55 Eleron Pl,Wayne
33 Rillo Dr,Wayne
366 Lafayette Ave,Passaic
7 Hillview Ct,West_Milford
1454 Madison Pl,Pompton_Lakes
15 Jessica Way,Wayne
148 Stewart Ter,Totowa
30 Merselis Ave,Clifton
271 Levinberg Ln,Wayne
35 Overlook Ave,Little_Falls
82 Mountainside Dr,Pompton_Lakes
1 Oak Ln,Ringwood
155 Bogert St,Totowa
22 Sunnycrest Ave,Clifton
46 Boonstra Dr,Wayne
49 Somerville Rd,West_Milford
10 Cottage Ln,Clifton
18 Dudley Ct,Wayne
12 Yacare Path,West_Milford
58 Lakeview Ct,Pompton_Lakes
8 Dehart Ave,West_Milford
19 Ploch Rd,Clifton
1206 Warrens Way,Wanaque
19 Pinecrest Ter,Wayne
3 Walnut St,Pompton_Lakes
46 Coventry Rd,Wayne
378 Union Ave,Clifton
160 Garside Ave,Wayne
22 Leslie Dr,Wayne
337 Highland Ave,Clifton
133 Lakeside Rd,West_Milford
267 High Crest Dr,West_Milford
Address Not Disclosed,Paterson
340 E 22nd St,Paterson
51 Landing Rd,West_Milford
132 Easedale Rd,Wayne
22 Joan Pl,Clifton
669 Riverview Dr,Totowa
3 Corvair Pl,Wayne
Address Not Disclosed,Paterson
2 Alden Ter,Paterson
16 Apache Rd,Wayne
182 Bennington Ct,Clifton
163 Patricia Pl,Clifton
503 Riverdale Blvd,Pompton_Lakes
168 Paterson Ave,Paterson
14 Quartz Ln,Paterson
106 Surrey Dr,Wayne
322 E 30th St,Paterson
Address Not Disclosed,Paterson
241 Point Breeze Dr,West_Milford
206 Washington Pl,Totowa
31 Custer Dr,Ringwood
776 Ringwood Ave,Pompton_Lakes
137 Redwood Ave,Wayne
17 Iron Forge Vlg #S,Pompton_Lakes
210 Lakeside Ave,Pompton_Lakes
236 Totowa Rd,Totowa
9 Chris Ter,Ringwood
316 3rd St,Clifton
17 Vizcaya Ct,Wayne
339 Paxton St,Paterson
104 Sturbridge Cir,Wayne
57 Norwood Ter,Totowa
47 Minns Ave,Wayne
19 Catherine St,Bloomingdale
54 N 13th St,Hawthorne
9 Haddon Rd,Wayne
87 Robin Hood Way,Wayne
28 Eastside Ave,Wanaque
23 Sugar Maple Ave,West_Milford
411 Montclair Ave,Pompton_Lakes
126 Montgomery St,Paterson
39 8th Ave,Passaic
701 E 29th St,Paterson
42 Sturr St,North_Haledon
4 Hampton Ter,Wayne
Address Not Disclosed,Paterson
 Unit 8c,Passaic
704 E 27th St,Paterson
Address Not Disclosed,Paterson
344 Cupsaw Dr,Ringwood
157 Luddington Ave,Clifton
12 Park Pl,Pompton_Lakes
1 Cherba Pl,Totowa
68 Ravona St,Clifton
47 New Brier Ln,Clifton
23 Glen Oaks Ct,Clifton
6 Black Walnut Ln,West_Milford
18 Coyles Ct,Clifton
165 Marshall Hill Rd,West_Milford
113 Demott Ave,Clifton
72 Pearl Brook Dr,Clifton
